/BIC/ZVCH_VTYP,TXTSH,TXTLG
,,
0,не присв.,не присвоен
1,,
2,ПЧТ,Почтовые и почтово-багажные
3,БАГ,Багажные
4,ПРПАС,Прочие вагоны пассажирского парка
10,НДЛМ,"Недействующие локомотивы, машины и механизмы на рельсовом хо"
20,,
30,МТС,Цистерны не инвентарного парка МПС
40,ПЛ,Платформы
41,ПЛ 2-х яр,Платформа 2х ярусная для перевозки автомобилей
60,ПВ,Полувагоны
61,ГХД,Полувагоны глуходонные
70,,
72,ЦС,Цистерны
73,ЦНН,Цистерны нефтеналивные инвентарного парка
74,ЦСЖ,Цистерны инвентарного парка МПС
75,ЦВН,Цистерны для вязких нефтепродуктов
76,ХИМ,Цистерны для химических грузов
77,ЦСН,Цистерны для светлого налива
78,ПИЩ,Цистерны для перевозки пищевых грузов
79,ЦТН,Цистерны для темного налива
82,ТРМ,Вагоны-термоса
87,РФ,Рефрижераторные
90,,
91,ЦМГ,Крытые для легковесных грузов
92,МВЗ,Минераловозы
93,ЦМВ,Цементовозы
94,ПР,Прочие
95,ЗРВ,Зерновозы
96,ФТГ,Платформы фитинговые
97,АПВ,Аппатитовозы
99,,
