ZVCHCOPER,ZVCHVRK2,ZVCH_BRKT,ZVCH_NDSF,ZVCH_OPER,ZVCH_PRUN,ZVCH_RODT,ZVCH_VTYP,ZVCH_PLCH,ZVCH_STMP,ZVCHDOFIL,ZVCH_DO,ZVCH_ROAD,ZVCHCMY,ZVCHCMYR,ZVCHNXRMN,ZVCHOPRP,ZVCH_NLSD,ZVCH_NLSF,ZVCHNRPR,ZVCH_NETS,ZVCH_OKPO,ZVCH_OWNT,0CALMONTH,0CALQUART1,0CALQUARTER,0CALYEAR,ZVKFNUNC2,ZVKFNUNCP,ZVKFVFLTN,ZVKF_RUN,ZVKF_UNC2,ZVKF_UNCP, ZVKF_VBLD,ZVKF_VFLT
4,1,404,4,1,*,9,93,5,1785,,,58,201806,201805,999912,60,,3,5,20,,,201804,2,20182,2018,0,0,0,0,0,0,0,0
4,1,352,3,1,X,,70,5,1176,,,17,201808,201807,999912,150,31.12.9999,1,5,20,41091836,2,201803,1,20181,2018,1,1,0,0,0,0,0,0
3,1,549,5,1,X,9,92,5,1166,,,76,201807,201806,999912,120,31.12.9999,1,5,20,203944,2,201803,1,20181,2018,6,6,0,0,0,0,0,0
3,1,540,5,1,X,6,60,5,1785,,,58,201807,201806,999912,120,31.12.9999,1,5,20,36525304,2,201803,1,20181,2018,1,1,0,0,0,0,0,0
3,1,540,5,1,X,6,60,5,512,,,51,201807,201806,999912,120,31.12.9999,1,5,20,36525304,2,201803,1,20181,2018,1,1,0,0,0,0,0,0
4,0,913,9,2,X,,70,5,1314,,,92,201807,201806,999912,120,31.12.9999,1,5,20,29890641,2,201803,1,20181,2018,1,1,0,0,0,0,0,0
4,1,214,2,2,X,,70,5,1314,,,92,201807,201806,999912,120,31.12.9999,1,5,20,29890641,2,201803,1,20181,2018,1,1,0,0,0,0,0,0
4,1,348,3,1,X,6,60,5,1314,,,92,201805,201804,999912,120,31.12.9999,1,5,20,95149153,2,201801,1,20181,2018,2,2,0,0,0,0,0,0
3,1,565,5,99,X,6,60,6,5,,,76,201805,201804,999912,120,31.12.9999,1,5,20,95149153,2,201801,1,20181,2018,1,1,0,0,0,0,0,0
3,1,502,5,1,X,6,60,5,1329,,,83,201805,201804,999912,120,31.12.9999,1,5,20,95149153,2,201801,1,20181,2018,1,1,0,0,0,0,0,0
